13.64,1.1,3
13.89,1.36,1
13.53,1.54,1
13.21,1.29,3
13.27,1.24,3
12.79,1.62,1
13.3,1.14,1
13.15,1.05,1
14.04,1.37,4
13.0,1.36,1
12.72,1.56,3
12.8,1.27,3
12.88,1.4,3
12.86,1.27,3
12.61,1.31,1
12.81,1.23,3
12.68,1.16,3
14.36,0.89,4
13.9,1.18,3
13.02,1.69,1
12.82,1.49,3
14.77,0.29,5
12.78,1.29,3
12.81,1.35,3
13.38,1.15,3
12.98,1.21,3
13.21,1.41,3
12.87,1.33,3
12.56,1.43,4
13.08,1.28,3
12.65,1.3,3
12.84,1.14,1
12.85,1.23,3
12.57,1.38,1
12.69,1.34,3
13.29,1.21,3
13.89,1.32,1
12.74,1.35,3
14.21,0.47,4
14.21,0.47,4
12.79,1.12,1
12.71,1.2,3
13.21,1.33,3
13.73,0.72,1
12.73,1.19,3
13.49,1.35,1
13.19,1.18,1
13.99,0.71,4
13.21,0.79,4
13.58,1.23,1
13.72,0.51,4
13.2,1.28,3
13.43,1.19,3
13.14,1.28,3
13.21,1.29,3
12.45,1.29,4
12.99,1.12,3
12.87,1.29,3
13.48,1.17,3
13.39,1.19,3
13.6,1.11,3
13.81,1.32,1
13.51,0.88,4
14.17,0.78,4
13.48,0.9,4
13.69,1.12,3
13.05,0.87,4
13.05,0.87,4
13.12,0.9,1
13.31,0.82,4
14.86,1.74,4
13.64,1.27,1
13.09,1.52,3
13.34,1.57,3
13.02,1.54,3
13.02,1.51,3
13.44,1.54,3
13.0,1.54,3
13.92,1.25,1
12.82,1.9,4
12.86,2.12,4
13.25,1.43,3
13.41,1.25,3
13.09,1.55,3
14.25,2.08,1
13.36,1.49,3
13.24,1.47,3
13.4,1.52,3
13.01,1.48,3
12.55,1.87,4
12.93,1.11,1
12.9,1.45,3
13.12,1.58,3
13.24,1.47,3
12.71,1.49,3
13.36,1.43,3
13.02,1.06,3
12.2,1.16,4
12.67,1.71,4
12.96,1.43,3
12.75,1.44,1
12.35,1.63,4
12.62,0.83,5
13.8,0.66,4
13.83,1.17,3
11.45,1.88,5
10.73,2.1,0
12.3,1.0,5
14.43,1.0,4
13.72,0.56,1
11.23,0.77,0
11.02,0.75,0
12.64,0.67,5
13.46,1.26,3
13.1,1.19,1
13.41,1.33,1
13.24,1.41,3
13.72,1.81,4
13.3,1.53,3
13.56,1.47,1
13.25,1.32,3
12.93,1.62,3
13.23,1.48,3
13.48,1.71,1
13.2,1.15,1
12.93,1.56,3
12.94,1.26,3
13.78,1.43,1
13.55,1.67,1
13.98,1.63,4
13.75,1.36,3
13.7,1.36,1
13.43,1.18,3
13.71,1.54,4
13.33,1.25,3
13.19,1.3,3
13.0,1.08,3
12.89,1.57,3
12.79,1.54,3
12.87,1.64,3
13.33,1.61,3
13.2,1.07,1
12.85,1.44,3
13.0,1.79,1
12.99,1.23,3
12.85,1.24,3
13.65,1.11,3
13.33,1.34,1
13.24,1.38,3
12.16,1.35,4
13.14,1.76,1
14.32,0.83,4
13.64,0.65,1
13.42,1.22,3
12.86,1.31,3
13.04,1.26,3
13.41,1.28,3
14.03,0.58,4
13.53,1.52,3
13.5,1.63,1
13.33,1.54,3
13.64,0.75,4
14.19,0.91,4
14.01,3.5,0
12.73,1.86,4
11.56,1.56,5
11.03,1.56,5
12.64,1.65,4
12.86,1.83,1
13.27,1.76,4
13.44,1.58,3
13.02,3.04,0
13.0,3.02,0
13.38,1.4,1
12.85,2.17,4
12.97,1.51,3
14.0,1.56,4
13.79,1.19,1
14.46,1.62,4
14.09,1.66,4
14.4,1.54,4
14.99,1.74,1
14.15,2.09,4
14.56,0.56,5
17.38,0.34,0
13.69,1.81,4
14.32,2.22,4
13.44,1.23,3
14.86,2.06,1
15.79,1.31,0
13.88,1.79,4
14.85,2.38,4
14.2,2.79,2
14.75,2.0,4
14.56,1.98,4
14.14,2.68,2
13.87,2.54,5
14.7,2.34,4
14.38,2.66,4
15.01,2.51,2
15.15,2.25,4
11.95,1.19,2
14.85,2.42,4
14.8,1.99,1
14.95,2.27,4
14.95,1.8,1
14.94,1.87,1
14.39,1.82,4
14.37,2.74,2
14.14,2.88,2
14.92,1.99,1
14.36,2.02,1
14.38,1.94,4
14.23,2.08,1
