14.36,0.89,4
14.77,0.29,5
14.21,0.47,4
14.21,0.47,4
13.99,0.71,4
13.21,0.79,4
13.72,0.51,4
13.51,0.88,4
13.48,0.9,4
13.31,0.82,4
14.86,1.74,4
12.86,2.12,4
12.55,1.87,4
12.2,1.16,4
12.35,1.63,4
12.62,0.83,4
11.45,1.88,5
10.73,2.1,5
12.3,1.0,4
14.43,1.0,4
11.23,0.77,2
11.02,0.75,2
12.64,0.67,4
13.72,1.81,4
13.98,1.63,3
12.16,1.35,4
14.32,0.83,4
14.19,0.91,4
14.01,3.5,5
11.56,1.56,5
11.03,1.56,5
13.02,3.04,2
13.0,3.02,2
12.85,2.17,4
14.0,1.56,4
14.46,1.62,4
14.09,1.66,4
14.4,1.54,4
14.99,1.74,4
14.15,2.09,3
14.56,0.56,4
17.38,0.34,0
13.69,1.81,4
14.32,2.22,4
15.79,1.31,5
13.88,1.79,4
14.85,2.38,4
14.2,2.79,4
14.14,2.68,4
13.87,2.54,4
14.7,2.34,4
14.38,2.66,4
15.01,2.51,4
15.15,2.25,4
11.95,1.19,4
14.85,2.42,4
14.39,1.82,4
14.37,2.74,4
14.14,2.88,4
