1,1
1000,1000
1,1000
1000,1
169,216
206,224
198,188
184,242
194,206
200,151
175,198
226,182
155,164
231,248
212,200
183,225
226,223
239,230
236,152
155,185
236,230
188,196
244,192
248,209
233,185
159,152
206,159
150,235
158,183
204,203
240,226
187,228
227,159
205,183
217,225
166,211
203,225
191,192
192,184
181,246
178,240
175,197
198,246
164,189
249,167
164,240
201,224
170,174
185,159
163,161
208,174
244,199
245,167
243,224
242,195
190,153
164,242
167,214
208,215
224,174
220,218
173,227
244,168
209,166
138,648
310,573
312,789
320,751
320,782
149,614
285,632
269,776
229,757
50,744
290,687
282,805
190,807
332,616
111,638
258,838
334,637
193,603
75,571
258,811
191,563
338,766
315,802
328,607
274,767
269,691
229,809
209,693
143,846
293,738
261,698
141,760
346,731
349,555
225,551
304,711
204,666
206,603
282,686
208,820
143,593
284,753
72,765
345,651
282,708
194,828
341,687
68,558
92,571
170,640
67,804
154,762
274,827
238,798
299,609
52,747
67,554
50,634
345,589
237,789
662,171
659,176
694,154
676,233
723,244
746,162
747,214
674,190
697,232
661,242
659,168
719,198
738,211
706,166
698,208
737,233
650,183
736,224
689,229
689,179
746,161
660,159
687,166
696,166
715,178
683,219
654,152
700,172
658,215
711,155
663,207
721,154
650,234
697,154
736,150
739,188
732,185
727,151
669,243
677,173
747,184
685,201
720,189
717,243
660,234
739,205
650,223
691,239
732,221
692,243
688,238
729,220
684,175
690,164
691,159
691,153
681,154
670,205
741,182
746,171
735,169
733,230
732,227
672,177
695,224
725,214
666,163
657,174
700,206
717,188
740,158
743,221
703,221
687,151
679,222
653,164
677,171
687,201
671,153
679,178
748,166
655,184
729,156
710,150
727,174
656,221
725,197
672,178
714,213
707,245
691,184
690,155
680,162
721,167
709,225
709,210
679,227
730,226
667,198
719,206
721,169
695,203
734,231
742,193
705,201
749,188
693,226
692,241
680,193
734,190
716,245
738,234
740,209
748,173
737,248
654,236
746,243
669,166
694,181
703,168
691,238
663,197
739,174
733,164
689,198
701,198
701,177
746,158
742,243
732,238
695,174
726,235
731,224
694,172
674,169
672,229
738,153
668,202
673,170
748,153
674,203
707,235
728,207
706,243
718,151
655,188
736,155
702,238
671,217
688,190
708,207
736,227
681,164
702,194
692,212
671,193
707,237
661,228
678,156
701,227
713,178
748,214
683,212
713,211
743,239
680,166
715,229
683,194
716,206
662,166
687,159
706,166
735,157
714,184
690,185
736,241
697,231
665,174
650,242
691,197
688,179
692,185
670,196
733,241
668,200
728,216
685,236
665,221
669,208
676,240
690,205
742,206
732,182
662,207
733,206
729,188
669,208
735,152
717,173
656,215
834,682
705,770
685,657
831,564
592,552
769,614
777,823
668,759
653,625
715,846
688,750
790,764
746,670
609,789
741,735
827,585
617,837
802,808
744,586
836,835
597,719
634,600
550,826
564,778
689,697
766,789
603,748
558,635
750,761
559,570
761,626
597,740
622,804
742,691
701,825
744,794
624,630
574,847
669,560
792,818
604,672
619,553
608,633
615,768
763,618
774,837
675,604
756,736
778,730
692,655
848,761
840,566
589,597
616,843
798,618
637,682
778,828
768,841
691,629
773,691
728,843
757,776
772,725
613,735
838,752
556,629
556,842
779,768
659,573
628,583
716,800
698,627
731,566
570,790
752,708
680,770
709,699
659,588
754,586
678,610
690,566
685,789
648,649
607,845
822,565
691,580
724,787
579,554
654,645
733,756
791,671
840,736
564,662
767,676
658,777
812,834
634,770
749,733
777,555
698,607
734,837
659,580
684,557
815,633
801,753
810,597
750,617
801,704
666,575
574,617
571,804
828,694
846,821
633,641
712,680
788,661
749,803
603,692
695,667
771,589
629,732
562,803
836,690
716,683
675,599
645,802
771,559
738,786
776,753
576,771
767,841
570,602
793,804
624,566
731,663
631,640
654,761
685,600
673,605
659,751
813,804
603,712
800,692
723,811
831,562
768,757
691,780
577,775
801,755
578,724
566,618
662,798
708,772
704,694
553,839
584,594
805,830
630,692
771,553
754,649
626,569
600,759
598,773
812,620
612,756
637,658
712,683
650,685
822,742
726,704
727,838
707,839
775,760
615,708
801,711
670,761
842,827
630,694
726,843
644,715
727,786
729,646
843,842
609,799
678,619
719,636
809,827
558,822
814,737
786,659
737,598
814,723
756,709
720,671
614,675
582,632
830,718
709,708
842,741
615,811
